Execução iniciada em: 2025-07-28_00-13-14

Configurações da Rodada:
  - model: sage
  - balancing: oversample
  - data_path: out/grafo_fraude_binario_cd_efraude.gml
  - epochs: 1000
  - lr: 0.001
  - hidden_channels: 128
  - dropout: 0.5
  - num_layers: 2
  - weight_decay: 0.0005
------------------------------
Carregando o grafo do arquivo GML...
Pré-processando os dados dos nós...
Processando features...
Features numéricas encontradas: ['num_transacoes_feitas', 'num_transacoes_recebidas', 'valor_medio_enviado', 'valor_medio_recebido', 'desvio_padrao_transacoes', 'num_contas_relacionadas', 'num_estornos', 'num_cancelamentos', 'num_pagamentos_contas', 'total_pagamentos_contas']
Escalando features...

--- Resumo do Pré-processamento ---
Dados processados: Data(x=[9878, 21], edge_index=[2, 7743], y=[9878], num_nodes=9878)
Número de features por nó: 21
Distribuição das classes: tensor([8822, 1056])
------------------------------------

Máscaras de dados criadas:
  - Nós de Treino: 6914
  - Nós de Validação: 1482
  - Nós de Teste: 1482

Usando dispositivo: cpu

Arquitetura do Modelo:
 GraphSAGE(
  (convs): ModuleList(
    (0): SAGEConv(21, 128, aggr=mean)
    (1): SAGEConv(128, 2, aggr=mean)
  )
  (bns): ModuleList(
    (0): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  )
  (dropout): Dropout(p=0.5, inplace=False)
)

Balanceamento por pesos desativado.
Usando balanceamento por oversampling da classe minoritária.

Iniciando o treinamento...
🚀 Época: 010, Perda: 0.6109, Val F1: 0.3253 (Novo Melhor!)
🚀 Época: 020, Perda: 0.5809, Val F1: 0.3265 (Novo Melhor!)
🚀 Época: 030, Perda: 0.5741, Val F1: 0.3268 (Novo Melhor!)
🚀 Época: 040, Perda: 0.5505, Val F1: 0.3281 (Novo Melhor!)
   Época: 050, Perda: 0.5408, Val F1: 0.3273
🚀 Época: 060, Perda: 0.5427, Val F1: 0.3392 (Novo Melhor!)
   Época: 070, Perda: 0.5422, Val F1: 0.3365
🚀 Época: 080, Perda: 0.5286, Val F1: 0.3440 (Novo Melhor!)
   Época: 090, Perda: 0.5361, Val F1: 0.3416
🚀 Época: 100, Perda: 0.5147, Val F1: 0.3499 (Novo Melhor!)
   Época: 110, Perda: 0.5185, Val F1: 0.3444
   Época: 120, Perda: 0.5144, Val F1: 0.3441
   Época: 130, Perda: 0.5290, Val F1: 0.3497
🚀 Época: 140, Perda: 0.5058, Val F1: 0.3602 (Novo Melhor!)
   Época: 150, Perda: 0.5277, Val F1: 0.3601
   Época: 160, Perda: 0.5019, Val F1: 0.3504
   Época: 170, Perda: 0.5146, Val F1: 0.3579
🚀 Época: 180, Perda: 0.5217, Val F1: 0.3661 (Novo Melhor!)
   Época: 190, Perda: 0.5014, Val F1: 0.3567
🚀 Época: 200, Perda: 0.5155, Val F1: 0.3685 (Novo Melhor!)
   Época: 210, Perda: 0.5030, Val F1: 0.3609
🚀 Época: 220, Perda: 0.4907, Val F1: 0.3703 (Novo Melhor!)
   Época: 230, Perda: 0.4904, Val F1: 0.3609
🚀 Época: 240, Perda: 0.4982, Val F1: 0.3793 (Novo Melhor!)
   Época: 250, Perda: 0.4927, Val F1: 0.3728
   Época: 260, Perda: 0.4761, Val F1: 0.3659
🚀 Época: 270, Perda: 0.4993, Val F1: 0.3806 (Novo Melhor!)
   Época: 280, Perda: 0.5002, Val F1: 0.3697
   Época: 290, Perda: 0.4963, Val F1: 0.3725
🚀 Época: 300, Perda: 0.5147, Val F1: 0.3817 (Novo Melhor!)
   Época: 310, Perda: 0.4958, Val F1: 0.3766
   Época: 320, Perda: 0.4893, Val F1: 0.3787
   Época: 330, Perda: 0.4990, Val F1: 0.3642
   Época: 340, Perda: 0.4921, Val F1: 0.3744
🚀 Época: 350, Perda: 0.5028, Val F1: 0.3903 (Novo Melhor!)
   Época: 360, Perda: 0.4712, Val F1: 0.3851
🚀 Época: 370, Perda: 0.4881, Val F1: 0.3971 (Novo Melhor!)
   Época: 380, Perda: 0.4805, Val F1: 0.3560
   Época: 390, Perda: 0.4770, Val F1: 0.3853
   Época: 400, Perda: 0.4841, Val F1: 0.3902
   Época: 410, Perda: 0.4827, Val F1: 0.3748
   Época: 420, Perda: 0.4945, Val F1: 0.3965
   Época: 430, Perda: 0.4922, Val F1: 0.3833
   Época: 440, Perda: 0.4857, Val F1: 0.3791
   Época: 450, Perda: 0.4955, Val F1: 0.3870
   Época: 460, Perda: 0.4913, Val F1: 0.3752
   Época: 470, Perda: 0.4822, Val F1: 0.3647
   Época: 480, Perda: 0.4877, Val F1: 0.3797
   Época: 490, Perda: 0.4842, Val F1: 0.3873
   Época: 500, Perda: 0.4722, Val F1: 0.3794
   Época: 510, Perda: 0.4902, Val F1: 0.3847
   Época: 520, Perda: 0.4789, Val F1: 0.3789
   Época: 530, Perda: 0.4867, Val F1: 0.3916
   Época: 540, Perda: 0.4879, Val F1: 0.3784
