account_id,account_number,document_id,account_created_at,account_primary_cnae,account_secondary_cnae,account_section_id,account_division_id,account_group_id,account_class_id,account_city,account_state,account_dominio_email,account_length_email,acccount_name_in_email,account_number_initial_email,account_number_final_email,account_number_in_email,account_settings_message,account_settings_image,fine,interest,account_email_sett_change,account_email_sett_unpaid,account_email_sett_settled,account_email_sett_charge_cancel,account_email_sett_subscription_cancel,account_email_sett_carnet_cancel
173591,d3b5321e0bff8e9a65d36af9f593094b2e04a262cbb4fb6081f577f9230714e6,165523,2019-08-01 06:30:23,f50183374cd24221670ccd66d37dd35be47b9efda41c67612ffa15f07c236d70,,df88b166d8061603945fa62064a4005f4d31cbe4932ce65b2c3970f0f02e27f2,811929b0e082c75e044014794d63b63bc8546df2fb2dc8ada8ea4e2f621df9f4,2a1e9a0801d8faf2b1a58c41cc855180acef493b92987307f72795ac100f6692,6bce57badf392fa837964bea4f09e8f05c8cb6de3592366d29f0fd7d0cc3a118,,,GMAIL,21,1,0,0,0,0,0,200.0,33.0,0,1,1,1,1,1
173615,e603b1f87791998c3604dab4764ebc70e0a85ddeb6e1392fb67ab0f2c4d9015c,165546,2019-08-01 10:53:45,67b12dc5ca9007f1bf878df98009e48d526f271ecbdcc16807867f9f34142cc6,,1428569fe11e4d08482d4ef5a0ae8ba7dafb4395479ffe6145799c7fe658f5c3,de0b6dc2845e4c46af3d9f79e44ca41706cdd5c0368108a6441441cfc8d5b64d,19169976eb2c2a16e173c2781bc941835cdbc4adc9c2f6ad75dd72db5c137ab3,80641d5c129b953c568da246faaba68277b980c9affcbbca7b2b395a3fe37de9,,,GMAIL,17,1,0,1,6,0,0,200.0,33.0,0,1,1,1,1,1
173616,5322c7ffd55be091867a1a293bee588805ecb8d01bd92aef818bf2ff70c8657e,165547,2019-08-01 11:01:21,d937b0bb3e7803465414baa76b4d41e26e8db1cd1b866595466ae607d6fb8ebf,8de5418bc4293d600cccb1afdac4aae5e5d6d06b26e904dc7b3266b55b66f48d,95c9c1aff3dffd9ca3fc6a1dca4356ce8e03548973a47dec402ef519d8a581b7,414c3b30d491a189483f910a585bfe6ef83bb46f5b5e29a2e26735eb28b1b206,52b2dabee659b578fb278a4718bfce932eeb8420ced5859235739abe4d4c95e4,f2e492c28ae9ba36a0b809baa100be9700ce6b6d9a52cd93f556ad38571dea15,d6504e305e038ba263b0aa54c82dd2be0e3d08b6e4c00a24e0c643eb615e72f9,641161487edbc485ac45d261388bd040ba7e2bcb563f08c47066c4d1be5ed696,OUTROS,13,0,0,0,0,0,1,800.0,255.0,0,1,1,1,1,1
173644,5d3f25545db9315f8e332e286dae9c3089db89b45bf57fe6933118622c905536,165572,2019-08-01 14:30:49,ae8a6ccc1c4c98f2d0d377ae4d583620fe9b01b1b2c0d8f5728e84942dff83da,,af05252bc2bc7b7f053aa40f04c5722d75716701232c83178f8d58b116ac7e89,0ce830a34eec2a244bb4e7681e83bb9d425f50dead7f48bbebebd2e60134934a,2c3f9234ca4e5f399dfa0cc2720f3190a606801965607e5e0ea8b74d9e8b59a7,b33c8a4e511bd7ba033db4a56549d4ac128e65b19fcfcf586fee73ecbdd79ecb,,,HOTMAIL,9,1,0,0,0,0,0,200.0,330.0,0,1,1,1,1,1
173677,47b92ff92626bdf9e760cddd6a581a94142671c625748afee0d8e1b4bedb6633,165603,2019-08-01 17:17:17,,,,,,,,,OUTROS,10,0,0,0,0,0,1,0.0,0.0,1,0,1,1,1,1
173734,63f70ce30543ec01336f625e80fc7f0080a1f0ab364a327f453c748b9fc8d9c5,165653,2019-08-02 09:18:47,2343ae5b6ca420b6dddd18e3325970468cfb44e8e56dfadb859e44acf24f643d,,df88b166d8061603945fa62064a4005f4d31cbe4932ce65b2c3970f0f02e27f2,811929b0e082c75e044014794d63b63bc8546df2fb2dc8ada8ea4e2f621df9f4,2a1e9a0801d8faf2b1a58c41cc855180acef493b92987307f72795ac100f6692,6bce57badf392fa837964bea4f09e8f05c8cb6de3592366d29f0fd7d0cc3a118,2d99a82d102a5d48fbebc11b872b1ab5b2a3aea88992c2676e6fafe82882dd19,4a1bf94a5f7fb72551dac7c763ec1bfa788ba65d9f978e3b83131929a00cb5c1,GMAIL,12,0,0,0,0,0,0,200.0,33.0,0,1,1,1,1,1
173741,95706c8d8ed84ff088204b7f44870df23d99815f605ddb99d245c3b9d032ba4e,165660,2019-08-02 10:11:26,a2ca2a336910f07c2731433a9d71c70c007926861648355d935ff9a0bacbf504,,df88b166d8061603945fa62064a4005f4d31cbe4932ce65b2c3970f0f02e27f2,811929b0e082c75e044014794d63b63bc8546df2fb2dc8ada8ea4e2f621df9f4,2a1e9a0801d8faf2b1a58c41cc855180acef493b92987307f72795ac100f6692,eb9c711137902b83ad9a87d4f1c4c52be009625d9f7d611c51a05599a44bd8a8,,,GMAIL,25,1,0,1,4,0,0,0.0,33.0,0,1,1,1,1,1
173743,b3fc8c651a4f63d2a43f0c05a89163526047e615c6d232b3e2e123c56971f265,165662,2019-08-02 10:30:49,67b12dc5ca9007f1bf878df98009e48d526f271ecbdcc16807867f9f34142cc6,,1428569fe11e4d08482d4ef5a0ae8ba7dafb4395479ffe6145799c7fe658f5c3,de0b6dc2845e4c46af3d9f79e44ca41706cdd5c0368108a6441441cfc8d5b64d,19169976eb2c2a16e173c2781bc941835cdbc4adc9c2f6ad75dd72db5c137ab3,80641d5c129b953c568da246faaba68277b980c9affcbbca7b2b395a3fe37de9,,,OUTROS,2,0,0,0,0,0,1,1000.0,33.0,0,1,1,1,1,1
173800,e34470c1a57cfdb5ecf7b4989fa8c39afe5b3570c9d4cc6235d6b140014ceb96,165713,2019-08-02 16:49:09,f7bf8e70f283da1351c9a8954d4acfb28c12eb325acf3c40e6fd086aa1a88ca0,,5b68ca527a09c2735085ed561a577bfad03a45cef67244798cd7fa003326526f,55b9d71937f55da5683f464228c72933b8fcbd81c4b706d56ce35c02e57f6942,78a0da2e755cef1fdb987b8049206c11e45a5a641cabeee30ea6fd1e62015d90,011424462bde3271d317c23f2d730a2f7c9d24a6b7976b68724f3132b0fc56d2,,,OUTROS,13,0,0,0,0,0,0,,,0,1,1,1,1,1
173818,221ad073d5084c9a2764f921939a756941b6ca2338556e89109d46b384e72476,165727,2019-08-02 19:33:54,1f75bb9f8181d3cea66cbba4c26feb71b87b3511d69f63860bcc768f235fc074,174b5724012d73845f84d54b8575c0cdc138714d566189b31a07f67263063505,4e7f363da3abcd21bc4392d5af466d696ebc4c0205e948a0176e50053f10909f,91cb5c9c30f7d55906e65075170f659773dd69adeb61152fe755875c478f6ff0,4d7766e07a725443fe159553125189546d9aa5e26fa632424214afd0be75a18b,4610c751a34d735d4678a3bc9d598ac2732a692c6915c5a5a4492cac440c0fb6,,,GMAIL,14,0,0,0,0,0,0,,,0,1,1,1,1,1
